fases	varH
5.000000000000000	39224414637844.75
5.002004008016032	39222262860070.06
5.004008016032064	39220068474853.19
5.006012024048096	39217831022076.62
5.008016032064128	39215550155437.81
5.010020040080160	39213224042273.81
5.012024048096192	39210849924672.31
5.014028056112225	39208426269512.00
5.016032064128257	39205951451812.75
5.018036072144288	39203423748153.31
5.020040080160321	39200841330518.00
5.022044088176353	39198203246041.75
5.024048096192384	39195507990889.50
5.026052104208417	39192751815155.81
5.028056112224449	39189933880487.19
5.030060120240481	39187050678363.81
5.032064128256513	39184099279545.00
5.034068136272545	39180711185473.94
5.036072144288577	39177618999863.19
5.038076152304609	39174451865422.12
5.040080160320641	39171206994098.81
5.042084168336673	39167509312806.75
5.044088176352705	39164100423978.88
5.046092184368738	39160600778261.56
5.048096192384770	39156636274947.31
5.050100200400801	39152955125281.50
5.052104208416834	39149172578752.06
5.054108216432866	39144913609237.50
5.056112224448897	39140922458116.88
5.058116232464930	39136440724303.44
5.060120240480962	39132221972132.06
5.062124248496994	39127500208092.50
5.064128256513026	39122644872815.56
5.066132264529058	39118053617519.06
5.068136272545090	39112929647576.81
5.070140280561122	39107658945510.44
5.072144288577154	39102632195886.50
5.074148296593187	39097051245676.25
5.076152304609218	39091300853413.50
5.078156312625251	39085377825601.62
5.080160320641283	39079272663216.38
5.082164328657314	39073372825069.38
5.084168336673347	39066873377411.69
5.086172344689379	39060160501825.44
5.088176352705410	39052822390602.88
5.090180360721443	39045649653539.12
5.092184368737475	39038229000762.31
5.094188376753507	39030548111869.25
5.096192384769539	39022593372112.56
5.098196392785571	39013939977070.94
5.100200400801604	39005383583724.06
5.102204408817635	38996093696375.56
5.104208416833667	38986868184278.06
5.106212424849700	38976866461425.25
5.108216432865731	38966888900112.12
5.110220440881763	38956090219870.75
5.112224448897796	38944851608271.12
5.114228456913827	38933145321171.56
5.116232464929860	38920942106403.75
5.118236472945892	38908209393836.94
5.120240480961924	38894910912733.56
5.122244488977956	38881008919972.75
5.124248496993988	38866038939723.56
5.126252505010020	38850799100075.31
5.128256513026052	38834386758424.06
5.130260521042084	38817598972964.38
5.132264529058117	38799525542884.56
5.134268537074148	38780519466022.75
5.136272545090180	38760509190275.50
5.138276553106213	38739409717418.12
5.140280561122244	38716705129714.00
5.142284569138276	38693145693031.94
5.144288577154309	38667762785421.25
5.146292585170340	38640855110023.38
5.148296593186373	38612282840034.81
5.150300601202405	38581884819876.88
5.152304609218437	38549053410787.56
5.154308617234469	38514009340204.25
5.156312625250501	38476524095203.88
5.158316633266533	38436333879797.56
5.160320641282565	38392695084379.69
5.162324649298597	38345697014397.62
5.164328657314630	38294933057925.00
5.166332665330661	38239500176814.25
5.168336673346693	38179279621647.38
5.170340681362726	38113622963203.00
5.172344689378757	38041321337743.94
5.174348697394789	37961452026685.75
5.176352705410822	37873342703625.75
5.178356713426854	37775197426015.06
5.180360721442886	37665351733838.88
5.182364729458918	37542159362161.88
5.184368737474950	37402556200806.88
5.186372745490982	37242726731708.75
5.188376753507014	37058695627314.00
5.190380761523046	36844568601158.88
5.192384769539078	36591850166829.00
5.194388777555110	36289618869700.38
5.196392785571142	35920028945601.75
5.198396793587174	35458759644454.75
5.200400801603206	34864571811589.44
5.202404809619239	34067759166541.56
5.204408817635271	32937448053508.56
5.206412825651302	31195623971845.75
5.208416833667335	28126524485647.75
5.210420841683367	21152942455152.81
5.212424849699399	-10890273129270.25
5.214428857715431	84080827579457.12
5.216432865731463	55056123120324.00
5.218436873747495	48463159960822.88
5.220440881763527	45637181453855.00
5.222444889779559	44076266878070.56
5.224448897795591	43089246907258.00
5.226452905811623	42410232438850.31
5.228456913827655	41914269490206.62
5.230460921843687	41536324623320.44
5.232464929859719	41238250454436.19
5.234468937875752	40997466101134.00
5.236472945891784	40798145722973.38
5.238476953907815	40630369410347.50
5.240480961923848	40486338608764.31
5.242484969939880	40361740887155.06
5.244488977955911	40252159322395.12
5.246492985971944	40154621759802.69
5.248496993987976	40066822879305.25
5.250501002004008	39987450869234.88
5.252505010020040	39915051858227.75
5.254509018036072	39847473870910.50
5.256513026052104	39785218909992.75
5.258517034068136	39726489633516.06
5.260521042084168	39670601090025.06
5.262525050100201	39617446686763.38
5.264529058116232	39566512107422.25
5.266533066132265	39517322483606.25
5.268537074148297	39468972515659.25
5.270541082164328	39421062767845.81
5.272545090180361	39374209370699.12
5.274549098196393	39327061899311.31
5.276553106212424	39279256360639.00
5.278557114228457	39231428718761.75
5.280561122244489	39182194446772.69
5.282565130260521	39131147100196.00
5.284569138276553	39078847828272.88
5.286573146292585	39023801542572.50
5.288577154308618	38965451282503.69
5.290581162324649	38903661479196.81
5.292585170340681	38837678255243.38
5.294589178356714	38766104238953.38
5.296593186372745	38688368700381.12
5.298597194388778	38602637979766.69
5.300601202404810	38507263830529.31
5.302605210420841	38400654967446.81
5.304609218436874	38279617421817.12
5.306613226452906	38140605657376.62
5.308617234468938	37978868172289.00
5.310621242484970	37787868807275.12
5.312625250501002	37557859027667.69
5.314629258517034	37275836795524.06
5.316633266533066	36920253344280.69
5.318637274549098	36458298259921.00
5.320641282565131	35834169206824.94
5.322645290581162	34943894193628.50
5.324649298597194	33573121763892.44
5.326653306613227	31199023746016.25
5.328657314629258	26126398956128.38
5.330661322645291	8260690066922.31
5.332665330661323	87057175453764.06
5.334669338677354	61419691568920.88
